rank,ID,name,mechanics,families,categories,n.ratings,rating
1,161936,pandemic-legacy-season-1,Action Point Allowance System|Co-operative Play|Hand Management|Point to Point Movement|Set Collection|Trading|Variable Player Powers,Campaign Games|Legacy|Pandemic,Environmental|Medical,18330,8.67041
2,182028,through-ages-new-story-civilization,Action Point Allowance System|Auction/Bidding|Card Drafting|Hand Management,Tableau Building,Card Game|Civilization|Economic,7490,8.72622
3,12333,twilight-struggle,Area Control / Area Influence|Campaign / Battle Card Driven|Dice Rolling|Hand Management|Simultaneous Action Selection,Country: Russia|Country: USA,Modern Warfare|Political|Wargame,27577,8.35708
4,174430,gloomhaven,Action / Movement Programming|Campaign / Battle Card Driven|Co-operative Play|Grid Movement|Hand Management|Modular Board|Simultaneous Action Selection|Storytelling|Variable Player Powers,Campaign Games|Crowdfunding: Kickstarter|Legacy|Solitaire Games,Adventure|Economic|Exploration|Fantasy|Fighting|Miniatures,4127,9.09037
5,187645,star-wars-rebellion,Area Control / Area Influence|Area Movement|Dice Rolling|Hand Management,Components: Miniatures|Fantasy Flight Big Box|Star Wars,Dice|Fighting|Movies / TV / Radio theme|Science Fiction|Wargame,8863,8.52923
6,120677,terra-mystica,Route/Network Building|Variable Phase Order|Variable Player Powers,Tableau Building|Terra Mystica,Civilization|Economic|Fantasy|Territory Building,24485,8.29447
7,169786,scythe,Area Control / Area Influence|Grid Movement|Variable Player Powers,Alternate History|Crowdfunding: Kickstarter|Scythe|Solitaire Games|Tableau Building,Civilization|Economic|Fighting|Miniatures|Science Fiction|Territory Building,16814,8.32286
8,167791,terraforming-mars,Card Drafting|Hand Management|Tile Placement|Variable Player Powers,Mars|Solitaire Games|Tableau Building,Economic|Environmental|Industry / Manufacturing|Science Fiction|Territory Building,10460,8.38749
9,173346,7-wonders-duel,Card Drafting|Set Collection,7 Wonders|7 Wonders Duel|Tableau Building,Ancient|Card Game|City Building|Civilization,21638,8.18607
10,102794,caverna-cave-farmers,Tile Placement|Worker Placement,Animals: Sheep|Harvest Series|Mining|Solitaire Games,Animals|Economic|Fantasy|Farming,17351,8.17806
11,84876,castles-burgundy,Dice Rolling|Set Collection|Tile Placement|Variable Phase Order,Alea Big Box|Country: France|Tableau Building,Dice|Medieval|Territory Building,25661,8.11203
12,3076,puerto-rico,Variable Phase Order,Alea Big Box|Colonial Theme|Country: Puerto Rico|Puerto Rico|Tableau Building,City Building|Economic|Farming,48476,8.08653
13,115746,war-ring-second-edition,Area Control / Area Influence|Area Movement|Campaign / Battle Card Driven|Dice Rolling|Hand Management,Monsters|Tolkien Games|War of the Ring,Adventure|Dice|Fantasy|Miniatures|Novel-based|Territory Building,6552,8.38324
14,31260,agricola,Card Drafting|Hand Management|Variable Player Powers|Worker Placement,Agricola|Animals: Cattle|Animals: Horses|Animals: Pigs|Animals: Sheep|Harvest Series|Solitaire Games|Tableau Building,Animals|Economic|Farming,48924,8.0531
15,96848,mage-knight-board-game,Card Drafting|Co-operative Play|Deck / Pool Building|Dice Rolling|Grid Movement|Hand Management|Modular Board|Role Playing|Tile Placement|Variable Player Powers,Clix|Components: Miniatures|Mage Knight Universe|Solitaire Games,Adventure|Exploration|Fantasy|Fighting,18589,8.13641
16,170216,blood-rage,Action Point Allowance System|Area Control / Area Influence|Area Movement|Card Drafting|Hand Management|Memory|Simultaneous Action Selection,Components: Miniatures|Crowdfunding: Kickstarter|Vikings,Fantasy|Fighting|Miniatures|Mythology,14398,8.14649
17,25613,through-ages-story-civilization,Action Point Allowance System|Auction/Bidding|Card Drafting|Hand Management,Tableau Building,City Building|Civilization|Economic,15448,8.08288
18,164153,star-wars-imperial-assault,Dice Rolling|Grid Movement|Modular Board|Partnerships|Role Playing|Variable Player Powers,Campaign Games|Fantasy Flight Big Box|Star Wars|Star Wars: Imperial Assault,Adventure|Fighting|Miniatures|Movies / TV / Radio theme|Science Fiction|Wargame,11489,8.19424
19,193738,great-western-trail,Deck / Pool Building|Hand Management|Point to Point Movement|Tile Placement,Stronghold Games: The Great Designer Series,American West,6091,8.29309
20,205059,mansions-madness-second-edition,Area Movement|Co-operative Play|Dice Rolling|Hand Management|Modular Board|Partnerships|Pick-up and Deliver|Role Playing|Variable Player Powers,Arkham Horror|Cthulhu Mythos,Adventure|Exploration|Fantasy|Fighting|Horror|Miniatures|Murder/Mystery|Puzzle,7020,8.30315
21,2651,power-grid,Auction/Bidding|Route/Network Building,Country: Germany|Country: USA|Power Grid,Economic|Industry / Manufacturing,42602,7.941
22,209010,mechs-vs-minions,Action / Movement Programming|Card Drafting|Co-operative Play|Dice Rolling|Modular Board|Variable Player Powers,Campaign Games|Components: Miniatures,Fantasy|Fighting|Miniatures|Video Game Theme,5414,8.36371
23,205637,arkham-horror-card-game,Action Point Allowance System|Co-operative Play|Deck / Pool Building|Hand Management|Role Playing|Variable Player Powers,Arkham Horror|Arkham Horror: The Card Game LCG|Campaign Games|Cthulhu Mythos|Living Card Game|Solitaire Games,Adventure|Card Game|Collectible Components|Fantasy|Horror|Novel-based,5908,8.39661
24,72125,eclipse,Area Control / Area Influence|Dice Rolling|Grid Movement|Modular Board|Player Elimination|Tile Placement|Variable Phase Order|Variable Player Powers,4X games|Eclipse,Civilization|Fighting|Science Fiction|Space Exploration|Wargame,20603,8.009
25,121921,robinson-crusoe-adventures-cursed-island,Action / Movement Programming|Co-operative Play|Dice Rolling|Modular Board|Simultaneous Action Selection|Storytelling|Tile Placement|Variable Player Powers|Worker Placement,Robinson Crusoe: Adventure on the Cursed Island|Solitaire Games,Adventure|Exploration|Fighting|Novel-based,18575,8.01149
26,175914,food-chain-magnate,Deck / Pool Building|Modular Board|Route/Network Building|Simultaneous Action Selection,Food / Cooking,Economic|Industry / Manufacturing,5335,8.28894
27,164928,orleans,Deck / Pool Building|Point to Point Movement|Worker Placement,Cities: Orléans (France)|Country: France|Orléans,Medieval|Religious|Travel,8935,8.08227
28,28720,brass-lancashire,Hand Management|Route/Network Building,Cities: Manchester|Country: England,Economic|Industry / Manufacturing|Transportation,10810,8.01269
29,124742,android-netrunner,Action Point Allowance System|Hand Management|Secret Unit Deployment|Variable Player Powers,Android|Android: Netrunner LCG|CCGs (Collectible Card Games)|Cyberpunk|Hackers|Living Card Game,Bluffing|Card Game|Collectible Components|Science Fiction,20636,7.99236
30,35677,le-havre,Worker Placement,Country: France|Harvest Series|Le Havre|Solitaire Games,City Building|Economic|Industry / Manufacturing|Nautical,19204,7.92997
31,126163,tzolk-mayan-calendar,Set Collection|Worker Placement,Country: Guatemala|Country: Mexico|Tropical theme,Ancient|Civilization|Economic|Farming|Mythology,18229,7.94259
32,178900,codenames,Memory|Partnerships|Pattern Recognition|Press Your Luck,Codenames,Card Game|Deduction|Party Game|Spies/Secret Agents|Word Game,31214,7.88788
33,183394,viticulture-essential-edition,Hand Management|Variable Phase Order|Worker Placement,Solitaire Games|Viticulture|Wine Games,Economic|Farming,5880,8.18007
34,146508,time-stories,Co-operative Play|Dice Rolling|Role Playing|Storytelling|Time Track|Variable Player Powers|Voting,T.I.M.E Stories|Time Travel,Adventure|Mature / Adult|Medieval|Science Fiction,10932,8.02615
35,124361,concordia,Card Drafting|Deck / Pool Building|Hand Management|Point to Point Movement,Ancient Rome|Concordia,Ancient|Economic|Nautical,10394,7.98567
36,122515,keyflower,Auction/Bidding|Memory|Modular Board|Pick-up and Deliver|Route/Network Building|Set Collection|Tile Placement|Worker Placement,Colonial Theme|Crowdfunding: Kickstarter|Key-series|Keyflower|Quined Master Print Edition Series,City Building|Economic|Nautical|Renaissance|Territory Building,12081,7.93352
37,68448,7-wonders,Card Drafting|Hand Management|Set Collection|Simultaneous Action Selection|Variable Player Powers,7 Wonders|Tableau Building,Ancient|Card Game|City Building|Civilization,52872,7.83148
38,171623,voyages-marco-polo,Card Drafting|Dice Rolling|Point to Point Movement|Set Collection|Variable Player Powers|Worker Placement,Animals: Camels|Cities: Beijing|Cities: Hormuz|Cities: Venice,Dice|Economic|Medieval|Travel,9401,7.97752
39,177736,feast-odin,Area Enclosure|Dice Rolling|Pattern Building|Press Your Luck|Tile Placement|Worker Placement,Admin: Better Description Needed!|Polyominoes|Solitaire Games|Vikings,Economic|Industry / Manufacturing|Medieval|Puzzle,4309,8.27086
40,18602,caylus,Worker Placement,Caylus|Country: France|Ystari originals,City Building|Economic|Medieval,22002,7.85698
