rank,ID,name,mechanics,families,categories,n.ratings,rating,bayes.rating,owned,one.player,two.players,three.players,four.players,many.players,age,language,n.weight,weight
1,161936,pandemic-legacy-season-1,Action Point Allowance System|Co-operative Play|Hand Management|Point to Point Movement|Set Collection|Trading|Variable Player Powers,Campaign Games|Legacy|Pandemic,Environmental|Medical,18405,8.66891,8.49036,30155,8|47|148,53|159|37,55|163|20,181|83|8,6|2|151,1|0|0|0|1|9|22|34|14,1|0|8|50|14,0,2
2,182028,through-ages-new-story-civilization,Action Point Allowance System|Auction/Bidding|Card Drafting|Hand Management,Tableau Building,Card Game|Civilization|Economic,7532,8.72275,8.30724,10329,4|5|94,55|108|11,138|38|3,20|99|43,0|0|95,0|0|0|0|0|0|0|6|26,0|0|6|30|3,0,4
3,12333,twilight-struggle,Area Control / Area Influence|Campaign / Battle Card Driven|Dice Rolling|Hand Management|Simultaneous Action Selection,Country: Russia|Country: USA,Modern Warfare|Political|Wargame,27616,8.35692,8.22021,37727,7|19|376,541|40|4,NA,NA,NA,1|0|0|0|1|1|6|49|130,1|2|13|228|39,0,3
4,174430,gloomhaven,Action / Movement Programming|Campaign / Battle Card Driven|Co-operative Play|Grid Movement|Hand Management|Modular Board|Simultaneous Action Selection|Storytelling|Variable Player Powers,Campaign Games|Crowdfunding: Kickstarter|Legacy|Solitaire Games,Adventure|Economic|Exploration|Fantasy|Fighting|Miniatures,4159,9.08027,8.16078,6318,23|65|22,35|87|5,74|53|2,59|56|5,0|4|70,0|0|0|0|0|1|7|12|21,0|0|1|9|1,0,3
5,187645,star-wars-rebellion,Area Control / Area Influence|Area Movement|Dice Rolling|Hand Management,Components: Miniatures|Fantasy Flight Big Box|Star Wars,Dice|Fighting|Movies / TV / Radio theme|Science Fiction|Wargame,8908,8.5297,8.15356,14627,1|1|104,159|12|1,1|33|83,10|65|58,0|1|91,0|0|0|0|0|5|10|15|22,0|0|4|19|0,0,3
6,120677,terra-mystica,Route/Network Building|Variable Phase Order|Variable Player Powers,Tableau Building|Terra Mystica,Civilization|Economic|Fantasy|Territory Building,24532,8.29422,8.15262,28227,0|11|341,16|246|208,84|374|42,420|126|2,NA,0|0|0|0|2|5|13|53|58,156|8|0|0|0,0,3
7,169786,scythe,Area Control / Area Influence|Grid Movement|Variable Player Powers,Alternate History|Components: Miniatures|Crowdfunding: Kickstarter|Scythe|Solitaire Games|Tableau Building,Civilization|Economic|Fighting|Science Fiction|Territory Building,16947,8.32178,8.08557,22771,15|125|53,15|158|60,66|159|15,168|79|3,NA,1|0|0|0|2|4|13|28|19,0|4|15|0|0,0,3
8,167791,terraforming-mars,Card Drafting|Hand Management|Tile Placement|Variable Player Powers,Mars|Solitaire Games|Tableau Building,Economic|Environmental|Industry / Manufacturing|Science Fiction|Territory Building,10607,8.38672,8.08324,12541,39|125|17,49|147|16,145|77|3,112|99|7,NA,0|0|0|0|0|1|20|17|7,0|3|13|5|1,0,3
9,173346,7-wonders-duel,Card Drafting|Set Collection,7 Wonders|7 Wonders Duel|Tableau Building,Ancient|Card Game|City Building|Civilization,21729,8.1856,8.02175,34287,0|8|166,219|9|2,NA,NA,NA,0|0|0|1|2|13|43|18|3,40|4|0|0|0,0,2
10,102794,caverna-cave-farmers,Tile Placement|Worker Placement,Animals: Sheep|Harvest Series|Mining|Solitaire Games,Animals|Economic|Fantasy|Farming,17386,8.17683,8.00532,22081,6|107|66,45|154|31,103|137|8,162|81|4,NA,0|0|0|0|3|3|10|34|20,0|19|37|2|1,0,3
11,84876,castles-burgundy,Dice Rolling|Set Collection|Tile Placement|Variable Phase Order,Alea Big Box|Country: France|Tableau Building,Dice|Medieval|Territory Building,25712,8.11249,7.99626,35496,4|22|325,432|199|19,200|360|14,116|283|154,0|3|295,0|0|0|0|2|12|26|53|17,111|10|1|0|0,0,3
12,3076,puerto-rico,Variable Phase Order,Alea Big Box|Colonial Theme|Country: Puerto Rico|Puerto Rico|Tableau Building,City Building|Economic|Farming,48517,8.08621,7.97879,55353,5|7|634,67|381|393,270|716|50,784|315|4,NA,1|0|0|1|1|12|64|103|58,9|109|171|18|1,0,3
13,115746,war-ring-second-edition,Area Control / Area Influence|Area Movement|Campaign / Battle Card Driven|Dice Rolling|Hand Management,Monsters|Tolkien Games|War of the Ring,Adventure|Dice|Fantasy|Miniatures|Novel-based|Territory Building,6571,8.38303,7.96396,10579,1|8|65,124|9|1,4|23|61,8|46|42,0|0|63,0|0|0|0|0|0|3|11|19,1|0|4|38|4,0,3
