rank,ID,name,year,mechanics,families,categories,n.ratings,rating,bayes.rating,owned,min_players,max_players,play_time,min_play_time,max_play_time,one.player,two.players,three.players,four.players,many.players,age,language,n.weight,weight
1,161936,pandemic-legacy-season-1,2015,Action Point Allowance System|Co-operative Play|Hand Management|Point to Point Movement|Set Collection|Trading|Variable Player Powers,Campaign Games|Legacy|Pandemic,Environmental|Medical,18434,8.66949,8.49069,30196,2,4,60,60,60,8|47|148,53|159|37,55|163|20,181|83|8,6|2|151,1|0|0|0|1|9|22|34|14,1|0|8|50|14,0,2
2,182028,through-ages-new-story-civilization,2015,Action Point Allowance System|Auction/Bidding|Card Drafting|Hand Management,Tableau Building,Card Game|Civilization|Economic,7546,8.72068,8.30639,10351,2,4,240,180,240,4|5|94,55|108|11,138|38|3,20|99|43,0|0|95,0|0|0|0|0|0|0|6|26,0|0|6|30|3,0,4
3,12333,twilight-struggle,2005,Area Control / Area Influence|Campaign / Battle Card Driven|Dice Rolling|Hand Management|Simultaneous Action Selection,Country: Russia|Country: USA,Modern Warfare|Political|Wargame,27637,8.35728,8.22042,37762,2,2,180,180,180,7|19|376,541|40|4,NA,NA,NA,1|0|0|0|1|1|6|49|130,1|2|13|228|39,0,3
4,174430,gloomhaven,2017,Action / Movement Programming|Campaign / Battle Card Driven|Co-operative Play|Grid Movement|Hand Management|Modular Board|Simultaneous Action Selection|Storytelling|Variable Player Powers,Campaign Games|Crowdfunding: Kickstarter|Legacy|Solitaire Games,Adventure|Economic|Exploration|Fantasy|Fighting|Miniatures,4170,9.07832,8.16077,6334,1,4,150,90,150,23|65|22,35|87|5,74|53|2,59|56|5,0|4|70,0|0|0|0|0|1|7|12|21,0|0|1|9|1,0,3
5,187645,star-wars-rebellion,2016,Area Control / Area Influence|Area Movement|Dice Rolling|Hand Management,Components: Miniatures|Fantasy Flight Big Box|Star Wars,Dice|Fighting|Movies / TV / Radio theme|Science Fiction|Wargame,8936,8.52933,8.15365,14654,2,4,240,180,240,1|1|104,159|12|1,1|33|83,10|65|58,0|1|91,0|0|0|0|0|5|10|15|22,0|0|4|19|0,0,3
6,120677,terra-mystica,2012,Route/Network Building|Variable Phase Order|Variable Player Powers,Tableau Building|Terra Mystica,Civilization|Economic|Fantasy|Territory Building,24558,8.29434,8.15264,28259,2,5,150,60,150,0|11|341,16|246|208,84|374|42,420|126|2,NA,0|0|0|0|2|5|13|53|58,156|8|0|0|0,0,3
7,169786,scythe,2016,Area Control / Area Influence|Grid Movement|Variable Player Powers,Alternate History|Components: Miniatures|Crowdfunding: Kickstarter|Scythe|Solitaire Games|Tableau Building,Civilization|Economic|Fighting|Science Fiction|Territory Building,17005,8.32158,8.08606,22859,1,5,115,90,115,15|125|53,15|158|60,66|159|15,168|79|3,NA,1|0|0|0|2|4|13|28|19,0|4|15|0|0,0,3
8,167791,terraforming-mars,2016,Card Drafting|Hand Management|Tile Placement|Variable Player Powers,Mars|Solitaire Games|Tableau Building,Economic|Environmental|Industry / Manufacturing|Science Fiction|Territory Building,10683,8.388,8.08505,12639,1,5,120,90,120,39|125|17,49|147|16,145|77|3,112|99|7,NA,0|0|0|0|0|1|20|17|7,0|3|13|5|1,0,3
9,173346,7-wonders-duel,2015,Card Drafting|Set Collection,7 Wonders|7 Wonders Duel|Tableau Building,Ancient|Card Game|City Building|Civilization,21791,8.1854,8.02162,34361,2,2,30,30,30,0|8|167,220|9|2,NA,NA,NA,0|0|0|1|2|13|43|18|3,40|4|0|0|0,0,2
10,102794,caverna-cave-farmers,2013,Tile Placement|Worker Placement,Animals: Sheep|Harvest Series|Mining|Solitaire Games,Animals|Economic|Fantasy|Farming,17402,8.1765,8.00503,22101,1,7,210,30,210,6|107|66,45|154|31,103|137|8,162|81|4,NA,0|0|0|0|3|3|10|34|20,0|19|37|2|1,0,3
11,84876,castles-burgundy,2011,Dice Rolling|Set Collection|Tile Placement|Variable Phase Order,Alea Big Box|Country: France|Tableau Building,Dice|Medieval|Territory Building,25743,8.11248,7.99617,35540,2,4,90,30,90,4|22|325,432|199|19,200|360|14,116|283|154,0|3|295,0|0|0|0|2|12|26|53|17,111|10|1|0|0,0,3
12,3076,puerto-rico,2002,Variable Phase Order,Alea Big Box|Colonial Theme|Country: Puerto Rico|Puerto Rico|Tableau Building,City Building|Economic|Farming,48539,8.0863,7.97871,55393,2,5,150,90,150,5|7|634,67|381|393,270|716|50,784|315|4,NA,1|0|0|1|1|12|64|103|58,9|109|171|18|1,0,3
13,115746,war-ring-second-edition,2012,Area Control / Area Influence|Area Movement|Campaign / Battle Card Driven|Dice Rolling|Hand Management,Monsters|Tolkien Games|War of the Ring,Adventure|Dice|Fantasy|Miniatures|Novel-based|Territory Building,6575,8.38416,7.96529,10589,2,4,180,150,180,1|8|65,124|9|1,4|23|61,8|46|42,0|0|63,0|0|0|0|0|0|3|11|19,1|0|4|38|4,0,3
14,31260,agricola,2007,Card Drafting|Hand Management|Variable Player Powers|Worker Placement,Agricola|Animals: Cattle|Animals: Horses|Animals: Pigs|Animals: Sheep|Harvest Series|Solitaire Games|Tableau Building,Animals|Economic|Farming,49001,8.05266,7.95885,58961,1,5,150,30,150,63|693|314,299|879|141,803|555|24,932|442|25,NA,2|0|0|2|9|48|120|181|108,1|10|56|501|96,0,3
15,96848,mage-knight-board-game,2011,Card Drafting|Co-operative Play|Deck / Pool Building|Dice Rolling|Grid Movement|Hand Management|Modular Board|Role Playing|Tile Placement|Variable Player Powers,Clix|Components: Miniatures|Mage Knight Universe|Solitaire Games,Adventure|Exploration|Fantasy|Fighting,18632,8.13573,7.93815,27890,1,4,150,150,150,421|250|19,398|283|7,135|361|121,27|140|389,4|12|435,1|0|0|0|0|0|12|39|89,0|3|26|154|7,0,4
16,170216,blood-rage,2015,Action Point Allowance System|Area Control / Area Influence|Area Movement|Card Drafting|Hand Management|Memory|Simultaneous Action Selection,Components: Miniatures|Crowdfunding: Kickstarter|Vikings,Fantasy|Fighting|Miniatures|Mythology,14502,8.14433,7.92029,19079,2,4,90,60,90,0|1|168,4|77|129,38|185|20,226|33|5,34|57|60,0|0|0|0|0|5|14|21|5,0|1|29|3|1,0,2
17,25613,through-ages-story-civilization,2006,Action Point Allowance System|Auction/Bidding|Card Drafting|Hand Management,Tableau Building,City Building|Civilization|Economic,15463,8.08175,7.92017,15930,2,4,240,240,240,5|30|282,158|347|44,416|159|13,120|249|168,2|3|271,0|0|0|0|0|3|5|31|79,0|4|34|142|19,0,4
18,193738,great-western-trail,2016,Deck / Pool Building|Hand Management|Point to Point Movement|Tile Placement,Stronghold Games: The Great Designer Series,American West,6236,8.29497,7.89788,8480,2,4,150,75,150,0|5|72,25|100|8,96|40|1,41|67|18,0|0|62,0|0|0|0|0|0|4|15|8,10|0|0|0|0,0,3
19,164153,star-wars-imperial-assault,2014,Dice Rolling|Grid Movement|Modular Board|Partnerships|Role Playing|Variable Player Powers,Campaign Games|Fantasy Flight Big Box|Star Wars|Star Wars: Imperial Assault,Adventure|Fighting|Miniatures|Movies / TV / Radio theme|Science Fiction|Wargame,11545,8.19381,7.89011,20233,2,5,120,60,120,2|9|133,118|59|18,46|106|24,26|109|39,NA,0|0|1|0|2|12|14|29|9,0|1|8|48|10,0,3
20,205059,mansions-madness-second-edition,2016,Area Movement|Co-operative Play|Dice Rolling|Hand Management|Modular Board|Partnerships|Pick-up and Deliver|Role Playing|Variable Player Powers,Arkham Horror|Cthulhu Mythos,Adventure|Exploration|Fantasy|Fighting|Horror|Miniatures|Murder/Mystery|Puzzle,7102,8.30364,7.86512,12142,1,5,180,120,180,11|51|10,21|51|8,50|28|2,50|22|7,NA,0|0|0|0|1|0|5|14|4,0|0|0|9|3,0,2
21,209010,mechs-vs-minions,2016,Action / Movement Programming|Card Drafting|Co-operative Play|Dice Rolling|Modular Board|Variable Player Powers,Campaign Games|Components: Miniatures,Fantasy|Fighting|Miniatures|Video Game Theme,5508,8.35952,7.86115,9640,2,4,90,60,90,0|12|52,24|40|13,16|50|3,60|20|1,0|0|43,1|0|0|0|4|5|10|7|3,0|0|4|1|0,0,2
22,2651,power-grid,2004,Auction/Bidding|Route/Network Building,Country: Germany|Country: USA|Power Grid,Economic|Industry / Manufacturing,42671,7.94053,7.85994,48912,2,6,120,120,120,0|9|529,12|190|525,84|581|125,610|267|5,NA,0|0|0|0|0|9|44|101|43,284|18|0|0|0,0,3
23,205637,arkham-horror-card-game,2016,Action Point Allowance System|Co-operative Play|Deck / Pool Building|Hand Management|Role Playing|Variable Player Powers,Arkham Horror|Arkham Horror: The Card Game LCG|Campaign Games|Cthulhu Mythos|Living Card Game|Solitaire Games,Adventure|Card Game|Collectible Components|Fantasy|Horror|Novel-based,5985,8.39377,7.85846,12453,1,4,120,60,120,46|88|8,114|42|3,16|59|27,4|38|18,0|0|55,0|0|0|0|0|0|6|14|14,0|0|0|11|0,0,3
24,72125,eclipse,2011,Area Control / Area Influence|Dice Rolling|Grid Movement|Modular Board|Player Elimination|Tile Placement|Variable Phase Order|Variable Player Powers,4X games|Eclipse,Civilization|Fighting|Science Fiction|Space Exploration|Wargame,20638,8.00796,7.85149,22652,2,6,200,60,200,2|15|272,30|229|145,73|307|45,365|108|6,NA,1|0|0|0|1|6|19|59|57,129|56|6|0|2,0,3
25,121921,robinson-crusoe-adventures-cursed-island,2012,Action / Movement Programming|Co-operative Play|Dice Rolling|Modular Board|Simultaneous Action Selection|Storytelling|Tile Placement|Variable Player Powers|Worker Placement,Robinson Crusoe: Adventure on the Cursed Island|Solitaire Games,Adventure|Exploration|Fighting|Novel-based,18641,8.0101,7.83591,27640,1,4,180,90,180,120|194|22,115|220|7,167|149|10,80|198|31,1|7|176,0|0|0|0|2|18|26|42|20,0|3|7|108|18,0,3
26,175914,food-chain-magnate,2015,Deck / Pool Building|Modular Board|Route/Network Building|Simultaneous Action Selection,Food / Cooking,Economic|Industry / Manufacturing,5356,8.28706,7.83123,6904,2,5,240,120,240,0|0|62,13|63|14,59|33|4,57|28|3,NA,0|0|0|0|0|0|3|4|15,0|13|10|0|0,0,4
27,164928,orleans,2014,Deck / Pool Building|Point to Point Movement|Worker Placement,Cities: Orléans (France)|Country: France|Orléans,Medieval|Religious|Travel,8993,8.08074,7.81653,10924,2,4,90,90,90,0|7|52,17|59|17,27|54|4,66|15|9,7|11|34,0|0|0|0|0|2|6|14|1,22|2|0|0|0,0,3
28,28720,brass-lancashire,2007,Hand Management|Route/Network Building,Cities: Manchester|Country: England,Economic|Industry / Manufacturing|Transportation,10825,8.01122,7.81207,11414,2,4,180,120,180,0|1|143,31|98|82,137|152|8,228|70|4,0|0|121,0|0|0|0|0|0|2|18|29,81|9|1|0|0,0,3
29,124742,android-netrunner,2012,Action Point Allowance System|Hand Management|Secret Unit Deployment|Variable Player Powers,Android|Android: Netrunner LCG|CCGs (Collectible Card Games)|Cyberpunk|Hackers|Living Card Game,Bluffing|Card Game|Collectible Components|Science Fiction,20664,7.99097,7.81136,32441,2,2,45,45,45,2|5|229,307|20|2,NA,NA,NA,1|0|0|0|0|1|20|75|57,1|0|7|160|16,0,3
30,35677,le-havre,2008,Worker Placement,Country: France|Harvest Series|Le Havre|Solitaire Games,City Building|Economic|Industry / Manufacturing|Nautical,19239,7.93072,7.80765,20362,1,5,150,30,150,9|184|111,138|278|30,370|116|5,96|235|91,NA,0|0|0|0|1|2|12|52|26,1|30|66|12|1,0,3
31,126163,tzolk-mayan-calendar,2012,Set Collection|Worker Placement,Country: Guatemala|Country: Mexico|Tropical theme,Ancient|Civilization|Economic|Farming|Mythology,18275,7.94171,7.79564,20692,2,4,90,90,90,0|7|144,45|168|24,69|154|7,182|57|9,0|4|106,0|0|0|0|0|0|3|29|15,79|1|1|0|0,0,3
32,178900,codenames,2015,Memory|Partnerships|Pattern Recognition|Press Your Luck,Codenames,Card Game|Deduction|Party Game|Spies/Secret Agents|Word Game,31377,7.88637,7.78413,49760,2,8,15,15,15,0|1|317,7|89|256,2|81|258,150|230|40,NA,0|0|0|0|3|22|32|22|9,1|0|8|21|71,0,1
